,employee_id,first_name,last_name,dob,ssn,hire_date,termdate,plan_name,coverage_level,effective_date
34,44255075,Ryan,Dyer,2014-07-08,845-38-7384,2020-09-30,2010-09-12,fsa-variation-1,Platinum,2025-03-07
35,32061170,Brad,Barnes,1965-03-14,544-51-2752,2007-10-18,2018-05-21,Dental Basic,Platinum,2025-06-26
36,25116384,David,Patton,1996-07-19,441-60-9740,2014-08-24,1999-07-21,High Deductible Medical,Gold,2024-12-23
37,57207551,Jeffrey,Webb,2005-10-20,045-81-6403,2025-03-25,1999-09-14,Dental Basic,Platinum,2025-03-21
38,03655671,Anna,Sutton,1962-09-20,069-98-2198,2021-11-24,1998-07-24,Medical PPO Core,Bronze,2025-09-11
39,87306621,Justin,Nash,2013-03-19,655-69-5775,2019-09-04,2017-12-11,VISION Core Option,Gold,2025-03-21
40,70237663,Brittany,Long,1921-04-23,147-94-2773,2010-06-20,2019-11-12,PPO–Med Plan,Platinum,2025-10-16
41,88541438,Randall,Munoz,1999-04-27,275-84-8712,2022-08-20,1999-03-04,VISION Core Option,Gold,2025-05-16
42,94214783,Nicole,Novak,1940-11-05,119-10-4232,2023-11-25,1997-03-08,High Deductible Medical,Gold,2025-10-08
43,91227560,Jane,King,1942-10-02,189-57-7421,2008-01-31,2007-04-12,Dental – Premium Plan,Bronze,2024-11-22
44,18921994,Laura,Farmer,2018-10-12,421-41-5258,2013-05-15,2015-06-21,FSA_VOYA,Platinum,2025-05-11
45,77435725,Matthew,Baker,1951-05-24,443-51-6837,2022-12-16,2001-01-26,VISION Core Option,Gold,2025-09-27
46,10807562,Wanda,Jackson,1919-04-21,120-36-3683,2018-08-28,1998-05-20,MED PPO – Core,Bronze,2025-05-30
47,35821183,Melissa,Mccullough,1940-06-15,701-46-2639,2018-05-26,2000-09-18,HDHP – Medical,Bronze,2025-09-28
48,13431466,Kathy,Lynch,2019-12-25,509-41-4477,2020-01-02,2016-05-19,VISION Core Option,Bronze,2025-02-26
49,18857879,Jeffrey,Cordova,2022-11-15,626-01-6128,2009-09-23,2017-12-03,MED PPO – Core,Silver,2025-10-10
50,44684748,Daniel,Hall,1964-12-24,775-35-6968,2010-11-03,2017-02-12,Medical PPO Core,Silver,2025-06-29
51,37309526,Christian,Santiago,1992-04-30,572-19-5940,2024-04-30,2003-06-14,PPO Medical,Silver,2025-05-15
52,14282543,Daniel,Murphy,1931-10-30,095-75-4913,2016-04-05,2020-12-17,Med_PPO,Silver,2025-11-14
53,68037291,Edgar,Patterson,2019-02-01,884-14-8340,2015-04-22,2021-01-31,Basic Dental Plan,Gold,2025-08-25
54,88224159,Amber,Burch,1924-01-10,860-68-4326,2016-10-20,1996-03-07,High Deductible Medical,Silver,2025-07-02
55,66170876,Jacqueline,Long,1913-06-29,648-03-9250,2015-05-18,2004-10-23,Basic Dental Plan,Platinum,2025-05-11
56,27609708,Eugene,Waller,1994-08-25,866-83-0350,2019-09-27,2009-12-22,VIS-BUYUP,Platinum,2025-01-27
57,06233844,Alan,Duke,1998-02-19,441-33-4118,2019-12-19,2014-01-08,fsa-variation-1,Silver,2025-11-10
58,14331901,Ashley,Mcgee,1971-03-23,470-24-8564,2014-10-25,2024-02-10,HDHP – Medical,Platinum,2025-07-21
59,90018319,Sylvia,Hansen,2009-05-16,289-26-4557,2013-11-09,2017-12-02,Basic Dental Plan,Platinum,2025-10-27
60,16209270,Pamela,Hernandez,1922-04-17,229-96-3309,2014-02-05,2009-10-20,Dental Premium,Platinum,2025-04-21
61,42423642,Heidi,Brown,1973-02-15,179-86-7571,2016-08-30,2018-08-25,HDHP – Medical,Gold,2025-04-16
62,81692402,Jose,Hines,1914-06-03,006-63-2503,2014-07-01,2013-10-05,vision-buy-up,Bronze,2025-03-23
63,55675132,Cassandra,Tyler,2003-12-08,245-03-4259,2017-03-17,2011-06-16,vision-buy-up,Platinum,2024-11-23
64,70724462,Shane,Castillo,2021-06-24,285-64-6587,2021-07-15,2001-10-23,PPO–Med Plan,Bronze,2025-02-15
65,42368241,Jeffery,Herring,1922-06-20,610-51-6914,2014-08-07,2008-07-25,Medical PPO Core,Bronze,2024-12-04
66,14127824,Angela,Garza,1925-04-07,580-32-9211,2016-02-24,2002-11-22,PPO–Med Plan,Silver,2025-09-19
67,21368657,Robert,Santos,1982-12-19,371-94-8105,2009-05-29,1998-08-12,Medical PPO Core,Gold,2025-10-09
68,64345461,Marie,Rogers,1927-12-23,477-59-0880,2016-12-05,2000-09-08,PPO Medical,Silver,2025-11-01
69,41412905,Krista,Gonzalez,1979-12-10,735-01-1416,2016-09-16,1998-07-31,VIS-BUYUP,Platinum,2025-01-27
70,38027513,David,Christensen,2022-11-09,829-13-1853,2017-03-25,2006-05-17,Dental – Premium Plan,Bronze,2025-07-13
71,42523820,Joel,Miller,1968-01-31,698-07-3938,2022-06-03,2008-09-07,VISION Core Option,Silver,2025-02-13
72,70910499,Ashley,Rose,1994-03-31,707-92-9899,2010-05-21,2016-11-06,Medical PPO Core,Bronze,2025-01-07
73,58238104,Pamela,Smith,2015-08-01,379-45-5611,2012-10-27,2012-07-08,Dental – BASIC,Gold,2025-06-14
74,51451362,Michael,Weaver,1973-12-21,357-72-8424,2018-08-26,2025-09-24,Basic Dental Plan,Silver,2025-04-16
75,82404632,Samantha,Dunlap,1969-03-30,303-53-3071,2022-01-25,2022-10-28,PPO Medical,Silver,2025-08-23
76,44030115,Brandon,Edwards,2015-07-07,202-46-1876,2014-12-24,2010-05-06,Med_PPO,Platinum,2025-04-18
77,89976733,Kristen,Calderon,1947-09-20,328-10-6321,2010-02-05,2022-01-04,PPO–Med Plan,Bronze,2025-04-29
78,55500924,John,Hurley,1921-11-23,782-35-5930,2018-06-16,2017-09-15,Premium Dental Coverage,Platinum,2024-11-25
79,75010933,Franklin,Cooper,1992-07-20,733-43-6900,2021-02-03,2023-08-27,VIS-BUYUP,Platinum,2025-11-09
80,36622835,Wendy,Moore,1984-10-13,217-54-0247,2013-02-01,2024-07-10,fsa-variation-1,Gold,2025-08-29
81,18048849,Mallory,Ray,1942-02-15,508-96-4254,2021-01-28,2002-06-20,fsa-variation-1,Gold,2024-11-25
82,05024948,Luis,Williams,1968-05-12,203-55-0862,2011-01-05,2002-09-30,Basic Dental Plan,Platinum,2024-12-08
83,52445016,Melissa,Bernard,2010-03-12,706-75-6926,2023-06-16,2018-05-29,vision-buy-up,Platinum,2025-06-21
84,51870460,Julia,Mayo,1918-06-19,541-12-1661,2025-08-06,2022-09-25,PPO Medical,Gold,2025-03-27
85,77790390,Matthew,Murphy,2006-11-29,550-52-5787,2012-10-15,2003-04-15,Premium Dental Coverage,Platinum,2025-11-04
86,66098871,Patricia,Graham,1956-12-07,551-08-8573,2019-06-30,2008-09-17,High Deductible Medical,Silver,2025-09-13
87,94728613,Pamela,Todd,2015-09-21,226-59-0489,2017-03-13,2019-07-26,FSA_VOYA,Bronze,2025-06-10
88,25414476,Deborah,Bond,2012-07-26,570-15-5417,2008-05-16,2019-06-20,High Deductible Medical,Bronze,2025-05-10
89,47226794,Megan,Lewis,1913-12-22,383-61-1668,2010-02-18,2013-11-05,vision-buy-up,Silver,2025-05-25
90,30906884,Stacy,Gray,2025-06-05,581-69-0382,2024-01-31,2003-03-09,Dental Basic,Gold,2024-12-22
91,16660147,Douglas,West,1972-10-23,787-26-3456,2025-08-13,2002-01-17,PPO–Med Plan,Bronze,2025-02-25
92,34965979,Harry,Boyd,2016-07-03,168-39-1564,2024-06-03,2005-08-03,Basic Dental Plan,Gold,2025-07-19
93,10638208,Matthew,Moore,1983-10-05,031-06-3073,2017-11-23,2014-01-07,Medical PPO Core,Gold,2025-10-16
94,13468703,Michele,Perry,2003-12-17,852-41-8193,2013-03-28,2006-08-13,Basic Dental Plan,Platinum,2025-08-17
95,58040978,Theresa,Wade,1981-04-27,350-15-1804,2025-08-22,1997-06-02,PPO–Med Plan,Bronze,2025-07-28
96,56693164,Daniel,Jones,1920-03-24,889-21-1177,2014-08-20,2012-12-03,VIS-BUYUP,Silver,2025-04-08
97,32584953,Katherine,Ortiz,1986-03-29,383-37-9468,2015-04-02,2020-02-15,High Deductible Medical,Bronze,2025-11-03
98,72604828,William,Wright,1927-12-08,746-44-4054,2024-01-05,2000-05-28,vision-buy-up,Bronze,2025-03-14
99,77000733,Mark,Callahan,1961-07-27,571-24-4089,2010-09-13,1998-06-16,Dental – Premium Plan,Platinum,2025-10-01
100,27766423,Nancy,Parker,1940-08-28,705-68-9645,2012-07-18,2013-05-11,Dental Basic,Gold,2025-03-05
101,42005797,Angela,Johnson,2004-03-06,635-97-4788,2022-06-24,2001-01-20,PPO Medical,Bronze,2025-07-15
102,59690845,Raymond,Jones,1926-06-01,497-58-8294,2018-10-26,2022-01-17,Dental Premium,Gold,2025-11-06
103,15294353,Jason,Pena,1936-06-05,538-28-8003,2022-05-12,2001-11-25,Premium Dental Coverage,Platinum,2024-12-27
104,14792881,Daniel,Martin,1981-08-30,488-49-4991,2014-11-29,2022-09-24,vision-buy-up,Silver,2025-10-14
105,30238836,Janet,Baker,2017-09-19,800-53-5160,2016-07-11,2014-09-27,fsa-variation-1,Silver,2025-04-10
106,53408489,Ian,Malone,1941-10-22,411-57-4787,2012-01-10,2001-04-22,HDHP – Medical,Bronze,2024-12-24
107,76789638,Zachary,Roberts,1975-12-21,880-59-3304,2014-12-31,2004-11-06,PPO Medical,Gold,2025-08-14
108,38890890,Kimberly,Munoz,2005-07-15,882-24-4583,2015-12-29,2007-08-04,Dental – Premium Plan,Platinum,2025-10-08
109,82416308,Gary,Andrews,1927-10-12,755-55-6988,2017-04-16,2017-04-10,FSA_VOYA,Gold,2025-10-07
110,78123515,Angela,Williams,1955-12-07,055-24-7626,2019-07-24,2006-03-22,Med_PPO,Bronze,2025-06-09
111,34360161,Tammy,Boyd,2011-07-03,422-10-9078,2014-11-01,1996-08-03,HDHP – Medical,Bronze,2025-08-10
112,27211535,Andres,Wilson,1944-08-02,823-75-4056,2018-03-15,1998-05-12,HDHP – Medical,Bronze,2025-01-31
113,63993044,Philip,Bowman,1978-10-21,642-02-6315,2021-02-26,2001-06-17,Medical PPO Core,Platinum,2025-08-29
114,86160599,Ashley,Carrillo,1950-07-23,337-40-6880,2008-09-22,2008-06-05,PPO–Med Plan,Gold,2025-07-06
115,23967075,Christopher,Oneill,2014-12-12,564-61-3443,2007-02-02,2010-05-30,Dental – BASIC,Silver,2025-10-20
116,32745951,Jamie,Young,1948-10-05,576-92-2887,2012-08-28,2016-04-29,Basic Dental Plan,Gold,2025-10-24
117,47508007,Lisa,Frost,1932-03-19,328-09-5360,2008-10-13,1999-10-05,Medical HDHP,Gold,2025-04-05
118,67662611,Stephanie,Hall,1958-10-31,345-72-1694,2024-08-19,2016-02-05,High Deductible Medical,Gold,2025-01-19
119,63564048,Thomas,Harris,1983-01-31,274-37-8647,2014-12-07,2014-03-20,FSA_VOYA,Platinum,2025-08-12
120,25068792,Brenda,Mann,1939-01-17,330-39-4483,2021-01-14,1999-02-18,VISION Core Option,Platinum,2025-03-11
121,34627737,Carl,Cook,2023-04-06,170-26-7826,2008-05-01,2009-06-10,VIS-BUYUP,Silver,2025-10-20
122,31248989,Heidi,Norris,1979-04-04,417-14-3198,2006-10-30,2008-02-22,VISION Core Option,Platinum,2025-04-30
123,15778469,Cheryl,Santiago,1966-02-19,192-96-0557,2024-01-26,2022-10-15,FSA_VOYA,Platinum,2025-10-06
124,07664517,Patricia,Mclean,1944-01-26,075-26-4116,2012-09-04,2021-06-02,Med_PPO,Bronze,2025-01-25
125,88999882,Heather,Owens,2025-06-02,386-95-8523,2006-11-25,2012-12-15,PPO Medical,Gold,2025-10-31
126,01192516,Devin,Smith,1977-11-24,717-26-3520,2014-02-09,2011-03-04,Dental Premium,Bronze,2025-02-23
127,08666669,Stephanie,Hinton,2003-01-22,780-97-0689,2014-08-02,2004-11-29,Premium Dental Coverage,Platinum,2025-11-03
128,21397949,Valerie,Bennett,2002-08-15,722-31-4275,2016-05-20,2016-05-20,Dental – BASIC,Gold,2025-06-01
129,29512990,Daniel,Rojas,1979-12-02,609-88-3998,2024-04-05,2023-01-12,VIS-BUYUP,Bronze,2025-04-22
130,85671796,Jennifer,Cox,1950-03-10,769-38-7952,2024-11-02,2005-11-04,Dental – BASIC,Silver,2024-12-21
131,54938390,Stephen,Taylor,1925-04-19,099-70-0099,2025-09-19,2005-01-28,Dental – BASIC,Bronze,2025-08-04
132,92899553,Troy,Reeves,2004-04-08,076-80-6189,2009-11-03,2020-12-11,Dental – Premium Plan,Silver,2025-01-13
133,23115703,John,Hayes,1912-07-29,354-13-4732,2014-10-15,2008-03-08,Medical PPO Core,Platinum,2025-05-27
134,93943631,Paul,Jackson,1935-01-31,213-06-3106,2019-02-15,2001-07-02,High Deductible Medical,Platinum,2025-04-17
135,42605076,Joshua,Robertson,1936-09-27,281-93-3922,2020-10-23,2024-03-07,PPO Medical,Platinum,2025-10-11
136,01087253,Daniel,Schmidt,2016-11-15,320-68-2156,2015-03-04,2003-01-23,Dental – BASIC,Platinum,2025-03-15
137,86818005,Angela,Fletcher,1950-09-12,215-91-2500,2007-08-08,2015-06-09,High Deductible Medical,Platinum,2025-04-11
138,90616489,Douglas,Hall,1999-12-24,751-30-8084,2007-12-25,2008-05-18,Premium Dental Coverage,Silver,2025-05-01
139,37784642,Shannon,Espinoza,1996-09-22,857-44-8194,2012-06-17,2005-07-26,VIS-BUYUP,Silver,2025-07-12
140,21959642,Denise,Fitzgerald,1942-08-13,571-52-5284,2009-09-04,2008-02-20,FSA_VOYA,Platinum,2025-04-30
141,26408696,Michael,Martin,1960-10-28,534-78-7766,2017-03-06,2002-03-04,VISION Core Option,Platinum,2025-03-31
142,04509838,Allen,Mccarthy,1943-11-05,371-76-7222,2010-05-23,2020-10-27,Dental Basic,Silver,2025-02-10
143,08889034,Laura,Wagner,2016-04-08,215-51-0590,2018-01-07,2005-12-29,PPO Medical,Platinum,2025-01-30
144,66832270,Chase,Blackburn,1992-10-30,579-04-1895,2015-05-17,2018-08-20,VISION Core Option,Silver,2025-11-04
145,19304911,Vincent,Hughes,1943-04-25,538-75-0578,2015-10-22,2022-07-05,Premium Dental Coverage,Gold,2025-10-19
146,28782281,Gary,Leonard,1917-12-02,139-50-4047,2020-04-20,1998-11-15,PPO–Med Plan,Platinum,2025-03-08
147,62977691,Cody,Herrera,1979-07-02,414-07-0438,2011-05-07,1999-05-26,Dental Basic,Gold,2024-12-02
148,60894613,Brittany,Foster,1953-04-03,137-29-7177,2012-07-06,2005-07-12,vision-buy-up,Bronze,2025-06-05
149,54276659,Jean,Avery,2023-08-12,715-06-8370,2013-11-29,2021-08-04,Premium Dental Coverage,Bronze,2025-03-23
150,01955814,Walter,Harrison,1936-06-24,291-22-6112,2018-11-20,2021-11-03,Dental – Premium Plan,Gold,2025-05-16
151,81494592,Matthew,Barrett,2012-10-01,039-65-9184,2018-10-21,2009-09-12,PPO–Med Plan,Gold,2025-11-17
152,54283811,Ricky,Simmons,1965-01-07,790-30-2271,2009-01-16,1999-02-21,FSA_VOYA,Bronze,2024-12-22
153,99472043,Alexandria,Chavez,2005-12-29,786-82-2562,2012-12-21,2015-05-07,VIS-BUYUP,Bronze,2025-07-05
154,31040684,Katherine,Rhodes,1933-01-19,274-55-5418,2007-04-13,2018-01-04,Dental Premium,Silver,2025-07-29
155,17778933,Gary,Nguyen,2024-02-11,883-98-7049,2022-11-30,2012-05-13,Dental Basic,Silver,2025-07-14
156,57614568,Alison,Davis,2023-04-09,778-94-5828,2011-02-25,2013-08-01,fsa-variation-1,Bronze,2025-09-24
157,82604250,Kathryn,Gutierrez,1930-06-05,542-31-3488,2015-03-04,2008-02-11,vision-buy-up,Silver,2025-05-21
158,81966586,Brett,Weaver,1914-11-05,611-13-3361,2014-11-28,1999-09-23,Medical PPO Core,Bronze,2025-11-10
159,46320418,Sherri,Lee,1981-12-19,441-41-8609,2011-12-08,2010-05-29,fsa-variation-1,Gold,2025-09-30
160,68432202,Gina,Alexander,1974-12-18,027-52-5911,2015-11-11,2017-09-20,fsa-variation-1,Gold,2025-10-22
161,72084514,Christopher,Maldonado,1942-08-28,751-46-1977,2009-11-17,1999-11-02,vision-buy-up,Bronze,2025-08-31
162,17632111,David,Bray,1952-10-14,375-81-4246,2017-06-04,2008-06-26,Premium Dental Coverage,Gold,2025-03-20
163,42779671,Andrew,Franco,1931-06-25,010-29-0904,2010-06-17,2016-07-19,MED PPO – Core,Platinum,2025-09-21
164,68845394,Breanna,Burns,2006-04-28,633-48-2203,2014-10-06,2016-10-24,Dental – Premium Plan,Platinum,2025-05-27
165,14298869,Rodney,Cabrera,1974-08-07,226-71-3044,2021-11-16,2008-08-27,PPO–Med Plan,Gold,2025-09-11
166,66801647,Maria,Cortez,2013-06-16,249-76-3091,2021-07-13,2017-02-09,Dental – Premium Plan,Bronze,2025-01-23
167,92224981,William,Wright,1953-09-14,443-24-0937,2014-04-10,2020-03-20,VISION Core Option,Bronze,2025-10-24
168,70315575,Barbara,Johnson,1995-10-12,675-18-4931,2012-02-05,2021-11-20,MED PPO – Core,Silver,2025-03-31
169,41507317,Kathy,Jackson,1999-12-18,327-49-0390,2022-11-24,2016-10-27,MED PPO – Core,Bronze,2024-12-31
170,31607358,Stephen,Gordon,2021-09-08,897-97-9571,2024-02-09,2024-09-07,PPO–Med Plan,Platinum,2024-12-01
171,57513119,David,Drake,2021-06-22,292-38-9790,2022-07-03,2020-10-17,High Deductible Medical,Gold,2025-09-26
172,97158170,Patty,Dawson,1952-09-12,314-32-6106,2020-04-08,2007-06-02,HDHP – Medical,Platinum,2025-10-31
173,35514968,Keith,Ford,2011-02-05,217-12-4647,2013-11-21,2018-05-28,High Deductible Medical,Bronze,2024-11-25
174,24134419,David,Garcia,1945-09-14,360-34-4604,2014-11-23,2009-11-23,PPO–Med Plan,Silver,2024-11-30
175,01643718,Bradley,Smith,1930-01-18,659-69-2905,2007-07-18,2022-10-21,Premium Dental Coverage,Gold,2025-09-30
176,72909532,David,Jordan,1959-02-24,111-27-5993,2013-05-16,2006-12-25,PPO–Med Plan,Bronze,2025-02-20
177,17677652,Veronica,Hall,1916-02-13,183-74-6979,2018-04-24,2004-02-02,HDHP – Medical,Silver,2024-12-28
178,34687361,Keith,Avila,2013-07-01,610-16-7937,2009-10-02,2022-05-25,Premium Dental Coverage,Gold,2025-01-18
179,58423641,Debra,Cooper,2017-07-25,747-33-3240,2007-04-09,2021-11-29,PPO Medical,Silver,2024-12-24
180,68784249,Evan,Lutz,1953-08-24,835-29-2958,2010-11-28,2006-03-12,PPO Medical,Bronze,2025-05-23
181,42710116,Jordan,Jimenez,2013-01-04,356-06-6656,2006-11-17,2025-05-24,Dental Basic,Bronze,2025-04-22
182,81427125,Emily,Kelley,1999-07-16,214-75-0226,2013-01-04,2024-07-24,VIS-BUYUP,Gold,2024-12-22
183,49441019,Anthony,Romero,2013-06-16,348-47-8947,2021-01-22,2008-03-29,Medical HDHP,Platinum,2025-02-20
184,24809078,Brooke,Johnson,1970-04-30,749-36-6016,2014-07-12,2016-02-29,HDHP – Medical,Gold,2025-10-01
185,94135306,Leonard,Hahn,1917-07-08,199-39-6805,2015-10-03,2022-09-20,Premium Dental Coverage,Silver,2025-02-25
186,46355481,Jeremy,Lewis,1929-05-06,240-41-0554,2015-01-26,2014-11-21,High Deductible Medical,Platinum,2025-01-26
187,75073867,Sara,Andrews,2003-07-07,079-09-4374,2019-03-06,2017-05-21,Dental Basic,Platinum,2025-01-24
188,31850409,Cory,Hughes,1979-08-04,100-48-4907,2020-12-15,2023-04-11,Dental Basic,Platinum,2025-03-26
189,11483650,Meghan,Murray,1911-12-16,738-59-7845,2019-05-05,2011-04-03,FSA_VOYA,Silver,2025-03-22
190,36433339,Scott,Dunn,1994-12-20,254-56-6349,2013-09-08,2006-07-20,Dental Premium,Gold,2025-08-13
191,60212605,Brandy,Powell,1971-04-28,240-58-5067,2017-08-17,2004-01-05,Dental Premium,Bronze,2025-01-15
192,50296466,Gary,Myers,1949-12-28,704-43-3801,2016-12-11,2022-07-23,MED PPO – Core,Platinum,2025-05-29
193,62087518,Jill,Phillips,1951-05-13,081-62-9863,2019-03-28,2018-03-27,VIS-BUYUP,Silver,2024-12-26
194,48133078,Charles,Reynolds,1912-08-29,286-17-5458,2022-05-19,2016-06-24,PPO–Med Plan,Gold,2025-06-10
195,78595326,Nancy,Smith,1945-03-16,603-21-6931,2010-06-26,2001-04-22,fsa-variation-1,Bronze,2024-11-25
196,49304514,Melissa,Vasquez,1993-01-20,224-63-9883,2022-05-13,2024-11-15,Dental Basic,Gold,2024-12-26
197,45848986,Jonathan,Harper,1980-04-20,028-40-2647,2013-03-14,2014-05-12,HDHP – Medical,Platinum,2025-08-18
198,27198103,Vincent,Curry,1995-01-05,792-15-0837,2010-12-12,2020-02-01,FSA_VOYA,Silver,2025-10-26
199,25740551,Megan,Miller,1948-02-12,604-75-6789,2007-01-24,1996-08-09,fsa-variation-1,Silver,2025-02-24
