,MemberID,Name,DOB,SSN,Plan,Coverage,EffectiveDate
64,70724462,Shane Castillo,2021-06-24,285646587,Medical PPO,Bronze,2025-02-15
65,42368241,Jeffery Herring,1922-06-20,610516914,Medical PPO,Platinum,2024-12-04
66,14127824,Angela Garza,1925-04-07,580329211,Medical PPO,Platinum,2025-09-19
67,21368657,Robert Santos,1982-12-19,371948105,Medical PPO,Gold,2025-10-09
68,64345461,Marie Rogers,1927-12-23,477590880,Medical PPO,Platinum,2025-11-01
69,41412905,Krista Gonzalez,1979-12-10,735011416,Vision Premium,Silver,2025-01-27
70,38027513,David Christensen,2022-11-09,829131853,Dental Premium,Platinum,2025-07-13
71,42523820,Joel Miller,1968-01-31,698073938,Vision Core,Platinum,2025-02-13
72,70910499,Ashley Rose,1994-03-31,707929899,Medical PPO,Gold,2025-01-07
73,58238104,Pamela Smith,2015-08-01,379455611,Dental Basic,Silver,2025-06-14
74,51451362,Michael Weaver,1973-12-21,357728424,Dental Basic,Gold,2025-04-16
75,82404632,Samantha Dunlap,1969-03-30,303533071,Medical PPO,Platinum,2025-08-23
76,44030115,Brandon Edwards,2015-07-07,202461876,Medical PPO,Bronze,2025-04-18
77,89976733,Kristen Calderon,1947-09-20,328106321,Medical PPO,Bronze,2025-04-29
78,55500924,John Hurley,1921-11-23,782355930,Dental Premium,Platinum,2024-11-25
79,75010933,Franklin Cooper,1992-07-20,733436900,Vision Premium,Bronze,2025-11-09
80,36622835,Wendy Moore,1984-10-13,217540247,Medical PPO,Bronze,2025-08-29
81,18048849,Mallory Ray,1942-02-15,508964254,Medical PPO,Silver,2024-11-25
82,05024948,Luis Williams,1968-05-12,203550862,Dental Basic,Platinum,2024-12-08
83,52445016,Melissa Bernard,2010-03-12,706756926,Vision Premium,Gold,2025-06-21
84,51870460,Julia Mayo,1918-06-19,541121661,Medical PPO,Bronze,2025-03-27
85,77790390,Matthew Murphy,2006-11-29,550525787,Dental Premium,Gold,2025-11-04
86,66098871,Patricia Graham,1956-12-07,551088573,Medical HDHP,Gold,2025-09-13
87,94728613,Pamela Todd,2015-09-21,226590489,Medical PPO,Silver,2025-06-10
88,25414476,Deborah Bond,2012-07-26,570155417,Medical HDHP,Platinum,2025-05-10
89,47226794,Megan Lewis,1913-12-22,383611668,Vision Premium,Platinum,2025-05-25
90,30906884,Stacy Gray,2025-06-05,581690382,Dental Basic,Silver,2024-12-22
91,16660147,Douglas West,1972-10-23,787263456,Medical PPO,Silver,2025-02-25
92,34965979,Harry Boyd,2016-07-03,168391564,Dental Basic,Platinum,2025-07-19
93,10638208,Matthew Moore,1983-10-05,031063073,Medical PPO,Platinum,2025-10-16
94,13468703,Michele Perry,2003-12-17,852418193,Dental Basic,Gold,2025-08-17
95,58040978,Theresa Wade,1981-04-27,350151804,Medical PPO,Silver,2025-07-28
96,56693164,Daniel Jones,1920-03-24,889211177,Vision Premium,Silver,2025-04-08
97,32584953,Katherine Ortiz,1986-03-29,383379468,Medical HDHP,Bronze,2025-11-03
98,72604828,William Wright,1927-12-08,746444054,Vision Premium,Bronze,2025-03-14
99,77000733,Mark Callahan,1961-07-27,571244089,Dental Premium,Platinum,2025-10-01
100,27766423,Nancy Parker,1940-08-28,705689645,Dental Basic,Gold,2025-03-05
101,42005797,Angela Johnson,2004-03-06,635974788,Medical PPO,Platinum,2025-07-15
102,59690845,Raymond Jones,1926-06-01,497588294,Dental Premium,Silver,2025-11-06
103,15294353,Jason Pena,1936-06-05,538288003,Dental Premium,Bronze,2024-12-27
104,14792881,Daniel Martin,1981-08-30,488494991,Vision Premium,Bronze,2025-10-14
105,30238836,Janet Baker,2017-09-19,800535160,Medical PPO,Silver,2025-04-10
106,53408489,Ian Malone,1941-10-22,411574787,Medical HDHP,Bronze,2024-12-24
107,76789638,Zachary Roberts,1975-12-21,880593304,Medical PPO,Gold,2025-08-14
108,38890890,Kimberly Munoz,2005-07-15,882244583,Dental Premium,Gold,2025-10-08
109,82416308,Gary Andrews,1927-10-12,755556988,Medical PPO,Silver,2025-10-07
110,78123515,Angela Williams,1955-12-07,055247626,Medical PPO,Bronze,2025-06-09
111,34360161,Tammy Boyd,2011-07-03,422109078,Medical HDHP,Platinum,2025-08-10
112,27211535,Andres Wilson,1944-08-02,823754056,Medical HDHP,Gold,2025-01-31
113,63993044,Philip Bowman,1978-10-21,642026315,Medical PPO,Silver,2025-08-29
114,86160599,Ashley Carrillo,1950-07-23,337406880,Medical PPO,Bronze,2025-07-06
115,23967075,Christopher Oneill,2014-12-12,564613443,Dental Basic,Silver,2025-10-20
116,32745951,Jamie Young,1948-10-05,576922887,Dental Basic,Gold,2025-10-24
117,47508007,Lisa Frost,1932-03-19,328095360,Medical HDHP,Platinum,2025-04-05
118,67662611,Stephanie Hall,1958-10-31,345721694,Medical HDHP,Platinum,2025-01-19
119,63564048,Thomas Harris,1983-01-31,274378647,Medical PPO,Silver,2025-08-12
120,25068792,Brenda Mann,1939-01-17,330394483,Vision Core,Bronze,2025-03-11
121,34627737,Carl Cook,2023-04-06,170267826,Vision Premium,Silver,2025-10-20
122,31248989,Heidi Norris,1979-04-04,417143198,Vision Core,Silver,2025-04-30
123,15778469,Cheryl Santiago,1966-02-19,192960557,Medical PPO,Platinum,2025-10-06
124,07664517,Patricia Mclean,1944-01-26,075264116,Medical PPO,Gold,2025-01-25
125,88999882,Heather Owens,2025-06-02,386958523,Medical PPO,Silver,2025-10-31
126,01192516,Devin Smith,1977-11-24,717263520,Dental Premium,Silver,2025-02-23
127,08666669,Stephanie Hinton,2003-01-22,780970689,Dental Premium,Gold,2025-11-03
128,21397949,Valerie Bennett,2002-08-15,722314275,Dental Basic,Gold,2025-06-01
129,29512990,Daniel Rojas,1979-12-02,609883998,Vision Premium,Bronze,2025-04-22
130,85671796,Jennifer Cox,1950-03-10,769387952,Dental Basic,Silver,2024-12-21
131,54938390,Stephen Taylor,1925-04-19,099700099,Dental Basic,Platinum,2025-08-04
132,92899553,Troy Reeves,2004-04-08,076806189,Dental Premium,Gold,2025-01-13
133,23115703,John Hayes,1912-07-29,354134732,Medical PPO,Silver,2025-05-27
134,93943631,Paul Jackson,1935-01-31,213063106,Medical HDHP,Bronze,2025-04-17
135,42605076,Joshua Robertson,1936-09-27,281933922,Medical PPO,Gold,2025-10-11
136,01087253,Daniel Schmidt,2016-11-15,320682156,Dental Basic,Gold,2025-03-15
137,86818005,Angela Fletcher,1950-09-12,215912500,Medical HDHP,Platinum,2025-04-11
138,90616489,Douglas Hall,1999-12-24,751308084,Dental Premium,Silver,2025-05-01
139,37784642,Shannon Espinoza,1996-09-22,857448194,Vision Premium,Bronze,2025-07-12
140,21959642,Denise Fitzgerald,1942-08-13,571525284,Medical PPO,Silver,2025-04-30
141,26408696,Michael Martin,1960-10-28,534787766,Vision Core,Bronze,2025-03-31
142,04509838,Allen Mccarthy,1943-11-05,371767222,Dental Basic,Gold,2025-02-10
143,08889034,Laura Wagner,2016-04-08,215510590,Medical PPO,Gold,2025-01-30
144,66832270,Chase Blackburn,1992-10-30,579041895,Vision Core,Bronze,2025-11-04
145,19304911,Vincent Hughes,1943-04-25,538750578,Dental Premium,Bronze,2025-10-19
146,28782281,Gary Leonard,1917-12-02,139504047,Medical PPO,Bronze,2025-03-08
147,62977691,Cody Herrera,1979-07-02,414070438,Dental Basic,Platinum,2024-12-02
148,60894613,Brittany Foster,1953-04-03,137297177,Vision Premium,Bronze,2025-06-05
149,54276659,Jean Avery,2023-08-12,715068370,Dental Premium,Bronze,2025-03-23
150,01955814,Walter Harrison,1936-06-24,291226112,Dental Premium,Platinum,2025-05-16
151,81494592,Matthew Barrett,2012-10-01,039659184,Medical PPO,Bronze,2025-11-17
152,54283811,Ricky Simmons,1965-01-07,790302271,Medical PPO,Silver,2024-12-22
153,99472043,Alexandria Chavez,2005-12-29,786822562,Vision Premium,Gold,2025-07-05
154,31040684,Katherine Rhodes,1933-01-19,274555418,Dental Premium,Silver,2025-07-29
155,17778933,Gary Nguyen,2024-02-11,883987049,Dental Basic,Gold,2025-07-14
156,57614568,Alison Davis,2023-04-09,778945828,Medical PPO,Platinum,2025-09-24
157,82604250,Kathryn Gutierrez,1930-06-05,542313488,Vision Premium,Platinum,2025-05-21
158,81966586,Brett Weaver,1914-11-05,611133361,Medical PPO,Bronze,2025-11-10
159,46320418,Sherri Lee,1981-12-19,441418609,Medical PPO,Silver,2025-09-30
160,68432202,Gina Alexander,1974-12-18,027525911,Medical PPO,Bronze,2025-10-22
161,72084514,Christopher Maldonado,1942-08-28,751461977,Vision Premium,Platinum,2025-08-31
162,17632111,David Bray,1952-10-14,375814246,Dental Premium,Bronze,2025-03-20
163,42779671,Andrew Franco,1931-06-25,010290904,Medical PPO,Platinum,2025-09-21
164,68845394,Breanna Burns,2006-04-28,633482203,Dental Premium,Platinum,2025-05-27
165,14298869,Rodney Cabrera,1974-08-07,226713044,Medical PPO,Gold,2025-09-11
166,66801647,Maria Cortez,2013-06-16,249763091,Dental Premium,Gold,2025-01-23
167,92224981,William Wright,1953-09-14,443240937,Vision Core,Platinum,2025-10-24
168,70315575,Barbara Johnson,1995-10-12,675184931,Medical PPO,Gold,2025-03-31
169,41507317,Kathy Jackson,1999-12-18,327490390,Medical PPO,Gold,2024-12-31
170,31607358,Stephen Gordon,2021-09-08,897979571,Medical PPO,Bronze,2024-12-01
171,57513119,David Drake,2021-06-22,292389790,Medical HDHP,Platinum,2025-09-26
172,97158170,Patty Dawson,1952-09-12,314326106,Medical HDHP,Bronze,2025-10-31
173,35514968,Keith Ford,2011-02-05,217124647,Medical HDHP,Gold,2024-11-25
174,24134419,David Garcia,1945-09-14,360344604,Medical PPO,Platinum,2024-11-30
175,01643718,Bradley Smith,1930-01-18,659692905,Dental Premium,Bronze,2025-09-30
176,72909532,David Jordan,1959-02-24,111275993,Medical PPO,Platinum,2025-02-20
177,17677652,Veronica Hall,1916-02-13,183746979,Medical HDHP,Platinum,2024-12-28
178,34687361,Keith Avila,2013-07-01,610167937,Dental Premium,Gold,2025-01-18
179,58423641,Debra Cooper,2017-07-25,747333240,Medical PPO,Silver,2024-12-24
180,68784249,Evan Lutz,1953-08-24,835292958,Medical PPO,Silver,2025-05-23
181,42710116,Jordan Jimenez,2013-01-04,356066656,Dental Basic,Silver,2025-04-22
182,81427125,Emily Kelley,1999-07-16,214750226,Vision Premium,Gold,2024-12-22
183,49441019,Anthony Romero,2013-06-16,348478947,Medical HDHP,Platinum,2025-02-20
184,24809078,Brooke Johnson,1970-04-30,749366016,Medical HDHP,Silver,2025-10-01
185,94135306,Leonard Hahn,1917-07-08,199396805,Dental Premium,Bronze,2025-02-25
186,46355481,Jeremy Lewis,1929-05-06,240410554,Medical HDHP,Silver,2025-01-26
187,75073867,Sara Andrews,2003-07-07,079094374,Dental Basic,Bronze,2025-01-24
188,31850409,Cory Hughes,1979-08-04,100484907,Dental Basic,Gold,2025-03-26
189,11483650,Meghan Murray,1911-12-16,738597845,Medical PPO,Silver,2025-03-22
190,36433339,Scott Dunn,1994-12-20,254566349,Dental Premium,Platinum,2025-08-13
191,60212605,Brandy Powell,1971-04-28,240585067,Dental Premium,Platinum,2025-01-15
192,50296466,Gary Myers,1949-12-28,704433801,Medical PPO,Platinum,2025-05-29
193,62087518,Jill Phillips,1951-05-13,081629863,Vision Premium,Silver,2024-12-26
194,48133078,Charles Reynolds,1912-08-29,286175458,Medical PPO,Silver,2025-06-10
195,78595326,Nancy Smith,1945-03-16,603216931,Medical PPO,Bronze,2024-11-25
196,49304514,Melissa Vasquez,1993-01-20,224639883,Dental Basic,Silver,2024-12-26
197,45848986,Jonathan Harper,1980-04-20,028402647,Medical HDHP,Platinum,2025-08-18
198,27198103,Vincent Curry,1995-01-05,792150837,Medical PPO,Bronze,2025-10-26
199,25740551,Megan Miller,1948-02-12,604756789,Medical PPO,Bronze,2025-02-24
